,sample_idx,area,encoding,feature,phoneme,pitch,speaker,res
0,0,tokyo,rle,pitch,etsto,H_L,3,HLL
0,1,tokyo,rle,pitch,etsto,H_L,2,HLL
0,2,tokyo,rle,pitch,etsto,H_L,1,HLL
0,3,tokyo,rle,pitch,esko,H_L,3,HLL
0,4,tokyo,rle,pitch,esko,H_L,2,HLL
0,5,tokyo,rle,pitch,esko,H_L,1,HLL
0,6,tokyo,rle,pitch,es,L_,3,HLL
0,7,tokyo,rle,pitch,esko,L_H,1,LHH
0,8,tokyo,rle,pitch,es,L_,2,HLL
0,9,tokyo,rle,pitch,esko,L_H,3,LHH
0,10,tokyo,rle,pitch,esko,L_H,2,LHH
0,11,tokyo,rle,pitch,es,L_,1,HLL
0,12,tokyo,rle,pitch,etsto,L_H,1,LHH
0,13,tokyo,rle,pitch,etsto,L_H,3,HLL
0,14,tokyo,rle,pitch,etsto,L_H,2,LHH
0,15,tokyo,rle,pitch,ets,L_,1,HLL
0,16,tokyo,rle,pitch,ets,L_,3,HLL
0,17,tokyo,rle,pitch,ets,L_,2,HLL
0,0,tokyo,rle_delta,pitch,etsto,H_L,3,HLL
0,1,tokyo,rle_delta,pitch,etsto,H_L,2,HLL
0,2,tokyo,rle_delta,pitch,etsto,H_L,1,HLL
0,3,tokyo,rle_delta,pitch,esko,H_L,3,HLL
0,4,tokyo,rle_delta,pitch,esko,H_L,2,HLL
0,5,tokyo,rle_delta,pitch,esko,H_L,1,HLL
0,6,tokyo,rle_delta,pitch,es,L_,3,HLL
0,7,tokyo,rle_delta,pitch,esko,L_H,1,LHH
0,8,tokyo,rle_delta,pitch,es,L_,2,HL
0,9,tokyo,rle_delta,pitch,esko,L_H,3,HLLH
0,10,tokyo,rle_delta,pitch,esko,L_H,2,HLL
0,11,tokyo,rle_delta,pitch,es,L_,1,HLL
0,12,tokyo,rle_delta,pitch,etsto,L_H,1,HLLH
0,13,tokyo,rle_delta,pitch,etsto,L_H,3,HLLH
0,14,tokyo,rle_delta,pitch,etsto,L_H,2,HLL
0,15,tokyo,rle_delta,pitch,ets,L_,1,HLL
0,16,tokyo,rle_delta,pitch,ets,L_,3,HLL
0,17,tokyo,rle_delta,pitch,ets,L_,2,HL
0,0,tokyo,rle,pitch_delta,etsto,H_L,3,HLHH
0,1,tokyo,rle,pitch_delta,etsto,H_L,2,HLHH
0,2,tokyo,rle,pitch_delta,etsto,H_L,1,HLL
0,3,tokyo,rle,pitch_delta,esko,H_L,3,HLHH
0,4,tokyo,rle,pitch_delta,esko,H_L,2,HLHH
0,5,tokyo,rle,pitch_delta,esko,H_L,1,HLL
0,6,tokyo,rle,pitch_delta,es,L_,3,HL
0,7,tokyo,rle,pitch_delta,esko,L_H,1,HLHH
0,8,tokyo,rle,pitch_delta,es,L_,2,HLHH
0,9,tokyo,rle,pitch_delta,esko,L_H,3,HLHH
0,10,tokyo,rle,pitch_delta,esko,L_H,2,HLHH
0,11,tokyo,rle,pitch_delta,es,L_,1,HLHH
0,12,tokyo,rle,pitch_delta,etsto,L_H,1,HLHH
0,13,tokyo,rle,pitch_delta,etsto,L_H,3,HLHH
0,14,tokyo,rle,pitch_delta,etsto,L_H,2,HLHH
